Main Category,Sub Category,SKU,Product Title
New Arrivals,Bakery/Sweet,DPFBN172,Milk Bikis Minis Kreemz 7Oz
New Arrivals,Bakery/Sweet,DPFBN67,Punjabi Cookies Jeera 17.5Oz
New Arrivals,Bakery/Sweet,DPFBN68,Punjabi Cookies Ajwain 17.6Oz
New Arrivals,Bakery/Sweet,DPFBN171,Milk Bikis Minis Wafflez 7 Oz
New Arrivals,Frozen,DPFDIQ2,Quick Cubes-Garlic 10Oz
New Arrivals,Frozen,DPFDIQ3,Quick Cubes Ginger Garlic 10Oz
New Arrivals,Frozen,DPFDIQ1,Quick Cubes-Ginger 10 Oz
New Arrivals,Frozen,DPFDBA16,Masala Paneer Bites 12.7Oz
New Arrivals,Frozen,DPFDBA15,Masala Tofu Bites 12.7Oz
New Arrivals,Frozen,DPFDBA17,Spicy Paneer Bites 12.7Oz
New Arrivals,Frozen,DPFDBA13,Cheesy Corn Stars 11.6Oz
New Arrivals,Frozen,DPFDIQ4,Quick Cubes-Green Chili 10Oz
New Arrivals,Frozen,DPFBMM,Methi Muthia 12 Oz
New Arrivals,Frozen,DPFDBA14,Green Chutney Mushrooms 12Oz
New Arrivals,Frozen,DPFDBA18,Masala Cauliflower Bites 12Oz
New Arrivals,Frozen,DPFBR66,Gobi Paratha FP 16Pcs- 56.4Oz
New Arrivals,Snacks,DPF00214,Chip Away-Sour Cream Onion4.6Oz
New Arrivals,Snacks,DPF00188,Vanela Ganthia 12.3 Oz
New Arrivals,Snacks,DPF00213,Chip Away-Indori Masala 4.6Oz
New Arrivals,Snacks,DPF00215,Chip Away-Bloody Mary Tomato4.6Oz
New Arrivals,Snacks,DPF00217,Chip Away-Classic Salted 4.6Oz
New Arrivals,Snacks,DPF00216,Chip Away-Thai Sweet Chili 4.6Oz
New Arrivals,Spices/Pickles/Chutneys,DPFP121,Original Hot Momo Sauce 12Oz
New Arrivals,Spices/Pickles/Chutneys,DPFP122,Green Chili Momo Sauce 12Oz
New Arrivals,Ghee/Jaggery/Mukhwas,DPFBG14,Cow Ghee 32Fl Oz
New Arrivals,Ghee/Jaggery/Mukhwas,DPFBG15,Cow Ghee 15FlOz
New Arrivals,Nuts/Dry Fruits/Coconut,DPFRPS3S,Spanish Peanut Small Light Pink 2Lb
New Arrivals,Nuts/Dry Fruits/Coconut,DPFRPS4S,Spanish Peanut Small Light Pink 4Lb
New Arrivals,Dals/Beans/Flour/Rice,DPFF15,5 Star Premium Atta 10Lb
New Arrivals,Dals/Beans/Flour/Rice,DPFF14,5 Star Premium Atta 4Lb
